			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	__		0	0	1	2	1	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
ya	ya		0	0	0	0	0	0	1	1	0	0
	yA		0	1	0	0	0	0	0	0	0	0
	ua		1	1	0	0	0	0	0	0	0	0
	uA		1	2	0	0	0	0	0	0	1	1
	y_		0	0	0	1	0	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
yu	yu		0	0	0	0	0	0	1	1	0	0
	yy		0	1	0	0	0	0	0	0	0	0
	uu		1	1	0	0	0	0	0	0	0	0
	uy		1	2	0	0	0	0	0	0	1	1
	y_		0	0	0	1	0	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_y		0	1	1	1	0	0	0	0	0	0
	u_		1	1	0	1	0	0	0	0	0	0
eO	eO	1	0	0	0	0	0	0	0	0	0	0
	eo		0	1	0	0	0	0	0	0	0	0
	EO		1	1	0	0	0	1	0	0	1	1
	Eo		1	2	0	0	0	1	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
eA	eA	1	0	0	0	0	0	0	0	0	0	0
	ea		0	1	0	0	0	0	0	0	0	0
	EA		1	1	0	0	0	1	0	0	1	1
	Ea		1	2	0	0	0	1	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
ey	ey	1	0	0	0	0	0	0	0	0	0	0
	eu		0	1	0	0	0	0	0	0	0	0
	Ey		1	1	0	0	0	1	0	0	1	1
	Eu		1	2	0	0	0	1	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
ee	ee	1	0	0	0	0	0	0	0	0	0	0
	eE		0	1	0	0	0	1	0	0	0	0
	Ee		1	1	0	0	0	1	0	0	0	0
	EE		1	2	0	0	0	2	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_E		0	1	1	1	0	1	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
ei	ei	1	0	0	0	0	0	0	0	0	0	0
	eI		0	1	0	0	0	1	0	0	0	0
	Ei		1	1	0	0	0	1	0	0	0	0
	EI		1	2	0	0	0	2	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
eI	eI		0	0	0	0	0	1	0	0	0	0
	ei		0	1	0	0	0	0	0	0	0	0
	EI		1	1	0	0	0	2	0	0	0	0
	Ei		1	2	0	0	0	1	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_I		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_i		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
eE	eE		0	0	0	0	0	1	0	0	0	0
	ee		0	1	0	0	0	0	0	0	0	0
	EE		1	1	0	0	0	2	0	0	0	0
	Ee		1	2	0	0	0	1	0	0	0	0
	e_		0	0	0	1	0	0	0	0	0	0
	_E		0	0	1	1	0	1	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_e		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
eo	eo	1	0	0	0	0	0	0	0	0	0	0
	eO		0	1	0	0	0	0	0	0	0	0
	Eo		1	1	0	0	0	1	0	0	0	0
	EO		1	2	0	0	0	1	0	0	1	1
	e_		0	0	0	1	0	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_O		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
ea	ea	1	0	0	0	0	0	0	0	0	0	0
	eA		0	1	0	0	0	0	0	0	0	0
	Ea		1	1	0	0	0	1	0	0	0	0
	EA		1	2	0	0	0	1	0	0	1	1
	e_		0	0	0	1	0	0	0	0	0	0
	_a		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_A		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
eu	eu	1	0	0	0	0	0	0	0	0	0	0
	ey		0	1	0	0	0	0	0	0	0	0
	Eu		1	1	0	0	0	1	0	0	0	0
	Ey		1	2	0	0	0	1	0	0	1	1
	e_		0	0	0	1	0	0	0	0	0	0
	_u		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_y		0	1	1	1	0	0	0	0	0	0
	E_		1	1	0	1	0	1	0	0	0	0
iO	iO	1	0	0	0	0	0	0	0	0	0	0
	io		0	1	0	0	0	0	0	0	0	0
	IO		1	1	0	0	0	1	0	0	1	1
	Io		1	2	0	0	0	1	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_O		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_o		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
iA	iA	1	0	0	0	0	0	0	0	0	0	0
	ia		0	1	0	0	0	0	0	0	0	0
	IA		1	1	0	0	0	1	0	0	1	1
	Ia		1	2	0	0	0	1	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
iy	iy	1	0	0	0	0	0	0	0	0	0	0
	iu		0	1	0	0	0	0	0	0	0	0
	Iy		1	1	0	0	0	1	0	0	1	1
	Iu		1	2	0	0	0	1	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
ie	ie	1	0	0	0	0	0	0	0	0	0	0
	iE		0	1	0	0	0	1	0	0	0	0
	Ie		1	1	0	0	0	1	0	0	0	0
	IE		1	2	0	0	0	2	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_e		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_E		0	1	1	1	0	1	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
ii	ii	1	0	0	0	0	0	0	0	0	0	0
	iI		0	1	0	0	0	1	0	0	0	0
	Ii		1	1	0	0	0	1	0	0	0	0
	II		1	2	0	0	0	2	0	0	0	0
	i_		0	0	0	1	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0	0
	__		0	0	1	2	1	0	0	0	0	0
	_I		0	1	1	1	0	1	0	0	0	0
	I_		1	1	0	1	0	1	0	0	0	0
iI	iI		0	0	0	0	0	1	0	0	0	0
