			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	AuE			 2 	 1 	 1 	 2 		
	aye		 1 	 1 				 1 	 1 
	ayE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aue		 1 	 2 					
	auE		 1 	 3 	 1 				
Ayi	Ayi	 1 							
	AyI			 1 	 1 	 1 	 1 		
	Aui			 1 		 1 	 1 		
	AuI			 2 	 1 	 1 	 2 		
	ayi		 1 	 1 				 1 	 1 
	ayI		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aui		 1 	 2 					
	auI		 1 	 3 	 1 				
AeO	AeO	 1 							
	Aeo			 1 			 1 		
	AEO			 1 	 1 	 1 	 1 	 1 	 1 
	AEo			 2 	 1 	 1 	 2 		
	aeO		 1 	 1 					 1 
	aeo		 1 	 2 					
	aEO		 1 	 2 	 1 			 1 	 2 
	aEo		 1 	 3 	 1 				
AeA	AeA	 1 							
	Aea			 1 			 1 		
	AEA			 1 	 1 	 1 	 1 	 1 	 1 
	AEa			 2 	 1 	 1 	 2 		
	aeA		 1 	 1 					 1 
	aea		 1 	 2 					
	aEA		 1 	 2 	 1 			 1 	 2 
	aEa		 1 	 3 	 1 				
Aey	Aey	 1 							
	Aeu			 1 			 1 		
	AEy			 1 	 1 	 1 	 1 	 1 	 1 
	AEu			 2 	 1 	 1 	 2 		
	aey		 1 	 1 					 1 
	aeu		 1 	 2 					
	aEy		 1 	 2 	 1 			 1 	 2 
	aEu		 1 	 3 	 1 				
Aee	Aee	 1 							
	AeE			 1 	 1 		 1 		
	AEe			 1 	 1 	 1 	 1 		
	AEE			 2 	 2 	 1 	 2 		
	aee		 1 	 1 					
	aeE		 1 	 2 	 1 				
	aEE		 1 	 3 	 2 				
Aei	Aei	 1 							
	AeI			 1 	 1 		 1 		
	AEi			 1 	 1 	 1 	 1 		
	AEI			 2 	 2 	 1 	 2 		
	aei		 1 	 1 					
	aeI		 1 	 2 	 1 				
	aEI		 1 	 3 	 2 				
AiO	AiO	 1 							
	Aio			 1 			 1 		
	AIO			 1 	 1 	 1 	 1 	 1 	 1 
	AIo			 2 	 1 	 1 	 2 		
	aiO		 1 	 1 					 1 
	aio		 1 	 2 					
	aIO		 1 	 2 	 1 			 1 	 2 
	aIo		 1 	 3 	 1 				
AiA	AiA	 1 							
	Aia			 1 			 1 		
	AIA			 1 	 1 	 1 	 1 	 1 	 1 
	AIa			 2 	 1 	 1 	 2 		
	aiA		 1 	 1 					 1 
	aia		 1 	 2 					
	aIA		 1 	 2 	 1 			 1 	 2 
	aIa		 1 	 3 	 1 				
Aiy	Aiy	 1 							
	Aiu			 1 			 1 		
	AIy			 1 	 1 	 1 	 1 	 1 	 1 
	AIu			 2 	 1 	 1 	 2 		
	aiy		 1 	 1 					 1 
	aiu		 1 	 2 					
	aIy		 1 	 2 	 1 			 1 	 2 
	aIu		 1 	 3 	 1 				
Aie	Aie	 1 							
	AiE			 1 	 1 		 1 		
	AIe			 1 	 1 	 1 	 1 		
	AIE			 2 	 2 	 1 	 2 		
	aie		 1 	 1 					
	aiE		 1 	 2 	 1 				
	aIE		 1 	 3 	 2 				
Aii	Aii	 1 							
	AiI			 1 	 1 		 1 		
	AIi			 1 	 1 	 1 	 1 		
	AII			 2 	 2 	 1 	 2 		
	aii		 1 	 1 					
	aiI		 1 	 2 	 1 				
	aII		 1 	 3 	 2 				
yOO	yOO	 1 							
	yOo			 1 		 1 	 1 		
	yoO			 1 		 1 	 1 	 1 	 1 
	yoo			 2 		 1 	 2 		
	uOO		 1 	 1 				 1 	 1 
	uOo		 1 	 2 		 1 	 1 	 1 	 1 
	uoO		 1 	 2 				 1 	 2 
	uoo		 1 	 3 					
yOA	yOA	 1 							
	yOa			 1 		 1 	 1 		
	yoA			 1 		 1 	 1 	 1 	 1 
	yoa			 2 		 1 	 2 		
	uOA		 1 	 1 				 1 	 1 
	uOa		 1 	 2 		 1 	 1 	 1 	 1 
	uoA		 1 	 2 				 1 	 2 
	uoa		 1 	 3 					
yOy	yOy	 1 							
	yOu			 1 		 1 	 1 		
	yoy			 1 		 1 	 1 	 1 	 1 
	you			 2 		 1 	 2 		
	uOy		 1 	 1 				 1 	 1 
	uOu		 1 	 2 		 1 	 1 	 1 	 1 
	uoy		 1 	 2 				 1 	 2 
	uou		 1 	 3 					
yOe	yOe	 1 							
