			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	Id(HiLoRd)Syl1	Id(HiLoRd)	*F3	*B1	*B2
	__		0	0	1	2	0	0	0	0	0
	_E		0	1	1	1	0	0	0	0	1
	O_		1	1	0	1	0	0	1	0	0
	oi		0	0	0	0	0	1	0	0	0
	ie		1	1	0	0	1	1	0	0	0
	ii		1	1	0	0	1	2	0	0	0
	iE		1	2	0	0	1	1	0	0	1
	Oi		1	1	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	0	1	1	0	1	0	0	0
oi	oi	1	0	0	0	0	0	0	0	0	0
	oI		0	1	0	0	0	0	0	1	1
	Oi		1	1	0	0	0	0	1	0	0
	OI		1	2	0	0	0	0	1	1	1
	o_		0	0	0	1	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_I		0	1	1	1	0	0	0	1	1
	O_		1	1	0	1	0	0	1	0	0
	oe		0	0	0	0	0	1	0	0	0
	ii		1	1	0	0	1	1	0	0	0
	ie		1	1	0	0	1	2	0	0	0
	iI		1	2	0	0	1	1	0	1	1
	Oe		1	1	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_e		0	0	1	1	0	1	0	0	0
oo	oo	1	0	0	0	0	0	0	0	0	0
	oO		0	1	0	0	0	0	1	0	0
	Oo		1	1	0	0	0	0	1	0	0
	OO		1	2	0	0	0	0	2	0	0
	o_		0	0	0	1	0	0	0	0	0
	_o		0	0	1	1	0	0	0	0	0
	__		0	0	1	2	0	0	0	0	0
	_O		0	1	1	1	0	0	1	0	0
	O_		1	1	0	1	0	0	1	0	0
	oi		0	1	0	0	0	1	0	0	0
	io		1	1	0	0	1	1	0	0	0
	ii		1	2	0	0	1	2	0	0	0
	iO		1	2	0	0	1	1	1	0	0
	Oi		1	2	0	0	0	1	1	0	0
	i_		1	1	0	1	1	1	0	0	0
	_i		0	1	1	1	0	1	0	0	0
oa	oa	1	0	0	0	0	0	0	0	0	0
