Id(Bk)Syl1	 114.896 
Id(Bk)	 94.8959999999999 
*F1	 103.37 
*F3	 101.37 
*F4	 106.244 
*F5	 100.244 
*B1	 108 
*B2	 109.126 
*B3	 103.756 
*B5	 99.756 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 97.98 
*F1..._B3	 97.778 
*F1_B5	 91.98 
*F1..._B5	 87.978 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100.004 
*F3..._B2	 100.004 
*F3_B3	 95.564 
*F3..._B3	 87.16 
*F3_B5	 79.362 
*F3..._B5	 69.16 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 100.046 
*F4..._B2	 100.246 
*F4_B3	 94.964 
*F4..._B3	 82.962 
*F4_B5	 80.72 
*F4..._B5	 68.742 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 104.246 
*F5..._B2	 104.446 
*F5_B3	 95.144 
*F5..._B3	 89.142 
*F5_B5	 70.9 
*F5..._B5	 68.922 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 100.04 
*_B2...F1	 100.242 
*_B2F3	 100.04 
*_B2...F3	 100.242 
*_B2F4	 92.02 
*_B2...F4	 86.022 
*_B2F5	 86.04 
*_B2...F5	 80.002 
*_B3F1	 100.04 
*_B3...F1	 100.264 
*_B3F3	 100.04 
*_B3...F3	 100.264 
*_B3F4	 89.56 
*_B3...F4	 81.384 
*_B3F5	 83.52 
*_B3...F5	 73.324 
*_B5F1	 102.086 
*_B5...F1	 102.486 
*_B5F3	 104.086 
*_B5...F3	 104.486 
*_B5F4	 84.786 
*_B5...F4	 78.786 
*_B5F5	 72.746 
*_B5...F5	 68.726 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 40 	eu	 3 	Ey	 0 	 0 	 0 	 0 	 0 
 41 	iO	 0 	iO	 0 	 0 	 171 	 0 	 0.171 
 41 	iO	 1 	io	 0 	 0 	 829 	 0 	 0.829 
 41 	iO	 2 	IO	 0 	 0 	 0 	 0 	 0 
 41 	iO	 3 	Io	 0 	 0 	 0 	 0 	 0 
 42 	iA	 0 	iA	 0 	 0 	 16 	 0 	 0.016 
 42 	iA	 1 	ia	 0 	 0 	 984 	 0 	 0.984 
 42 	iA	 2 	IA	 0 	 0 	 0 	 0 	 0 
 42 	iA	 3 	Ia	 0 	 0 	 0 	 0 	 0 
 43 	iy	 0 	iy	 0 	 0 	 16 	 0 	 0.016 
 43 	iy	 1 	iu	 0 	 0 	 984 	 0 	 0.984 
 43 	iy	 2 	Iy	 0 	 0 	 0 	 0 	 0 
 43 	iy	 3 	Iu	 0 	 0 	 0 	 0 	 0 
 44 	ie	 0 	ie	 1 	 2 	 868 	 1 	 0.868 
 44 	ie	 1 	iE	 0 	 0 	 132 	 0 	 0.132 
 44 	ie	 2 	Ie	 0 	 0 	 0 	 0 	 0 
 44 	ie	 3 	IE	 0 	 0 	 0 	 0 	 0 
 45 	ii	 0 	ii	 1 	 2 	 1000 	 1 	 1 
 45 	ii	 1 	iI	 0 	 0 	 0 	 0 	 0 
 45 	ii	 2 	Ii	 0 	 0 	 0 	 0 	 0 
 45 	ii	 3 	II	 0 	 0 	 0 	 0 	 0 
 46 	iI	 0 	iI	 0 	 0 	 0 	 0 	 0 
 46 	iI	 1 	ii	 0 	 0 	 1000 	 0 	 1 
 46 	iI	 2 	II	 0 	 0 	 0 	 0 	 0 
 46 	iI	 3 	Ii	 0 	 0 	 0 	 0 	 0 
 47 	iE	 0 	iE	 0 	 0 	 132 	 0 	 0.132 
 47 	iE	 1 	ie	 0 	 0 	 868 	 0 	 0.868 
 47 	iE	 2 	IE	 0 	 0 	 0 	 0 	 0 
