trial num	generated	heard	Id(Bk)Syl1	now	Id(Bk)	now	*F1	now	*F3	now	*F4	now	*F5	now	*B1	now	*B2	now	*B3	now	*B5	now	*F1_B1	now	*F1..._B1	now	*F1_B2	now	*F1..._B2	now	*F1_B3	now	*F1..._B3	now	*F1_B5	now	*F1..._B5	now	*F3_B1	now	*F3..._B1	now	*F3_B2	now	*F3..._B2	now	*F3_B3	now	*F3..._B3	now	*F3_B5	now	*F3..._B5	now	*F4_B1	now	*F4..._B1	now	*F4_B2	now	*F4..._B2	now	*F4_B3	now	*F4..._B3	now	*F4_B5	now	*F4..._B5	now	*F5_B1	now	*F5..._B1	now	*F5_B2	now	*F5..._B2	now	*F5_B3	now	*F5..._B3	now	*F5_B5	now	*F5..._B5	now	*_B1F1	now	*_B1...F1	now	*_B1F3	now	*_B1...F3	now	*_B1F4	now	*_B1...F4	now	*_B1F5	now	*_B1...F5	now	*_B2F1	now	*_B2...F1	now	*_B2F3	now	*_B2...F3	now	*_B2F4	now	*_B2...F4	now	*_B2F5	now	*_B2...F5	now	*_B3F1	now	*_B3...F1	now	*_B3F3	now	*_B3...F3	now	*_B3F4	now	*_B3...F4	now	*_B3F5	now	*_B3...F5	now	*_B5F1	now	*_B5...F1	now	*_B5F3	now	*_B5...F3	now	*_B5F4	now	*_B5...F4	now	*_B5F5	now	*_B5...F5	now
83	AOA	aoa	0.2857142857142857	56.105769230769226	0.2857142857142857	36.105769230769226	0.2857142857142857	99.52857142857144	0.2857142857142857	94.42857142857146	0.2857142857142857	98.00934065934068	0.2857142857142857	93.17600732600735					-1	93.77619047619048	-1	95.9297619047619																																																																																																																																
84	aaa	AAA	0.75	56.855769230769226	0.75	36.855769230769226			-1	93.42857142857146	-1	97.00934065934068	-1	92.17600732600735							0.75	96.6797619047619																																																																																																																																
85	Ioa	iOA	0.5714285714285714	57.427197802197796	0.5714285714285714	37.427197802197796	-1	98.52857142857144	-1	92.42857142857146	-1	96.00934065934068	-1	91.17600732600735	0.5714285714285714	99.8809523809524	0.5714285714285714	94.54761904761907	0.5714285714285714	94.34761904761905	0.5714285714285714	97.25119047619047																																																																																																																																
86	AOe	aoE	0.42857142857142855	57.855769230769226	0.42857142857142855	37.855769230769226	0.42857142857142855	98.95714285714287	0.42857142857142855	92.85714285714289	0.42857142857142855	96.43791208791211	0.42857142857142855	91.60457875457878			-1	93.54761904761907	-1	93.34761904761905	-1	96.25119047619047																																																																																																																																
87	yAy	uau	0.16666666666666666	58.02243589743589	0.16666666666666666	38.02243589743589			0.16666666666666666	93.02380952380956	0.16666666666666666	96.60457875457878	0.16666666666666666	91.77124542124545							-1	95.25119047619047																																																																																																																																
88	IE	iE	1.0	59.02243589743589	1.0	39.02243589743589							-1	90.77124542124545	1.0	100.8809523809524	1.0	94.54761904761907	1.0	94.34761904761905	1.0	96.25119047619047																																																					-1	97	-1	96.5	-1	95.23076923076923	-1	94.73076923076923	-1	94.80100732600732	-1	94.80100732600732																																																																
89	iE	IE	0.4	59.42243589743589	0.4	39.42243589743589							0.4	91.17124542124546	-1	99.8809523809524	-1	93.54761904761907	-1	93.34761904761905	-1	95.25119047619047																																																					0.4	97.4	0.4	96.9	0.4	95.63076923076923	0.4	95.13076923076923	0.4	95.20100732600733	0.4	95.20100732600733																																																																
90	uuu	yyy	0.75	60.17243589743589	0.75	40.17243589743589			-1	92.02380952380956	-1	95.60457875457878	-1	90.17124542124546							0.75	96.00119047619047																																																																																																																																
92	Eou	eOy	0.6666666666666666	60.839102564102554	0.6666666666666666	40.839102564102554	-1	97.95714285714287	-1	91.02380952380956	-1	94.60457875457878	-1	89.17124542124546			0.6666666666666666	94.21428571428574	0.6666666666666666	94.01428571428572	0.6666666666666666	96.66785714285714																																																																																																																																
93	iA	ia			0.6	41.439102564102555			0.6	91.62380952380956	0.6	95.20457875457878	0.6	89.77124542124545							-1	95.66785714285714																																																													-1	94.20100732600733	-1	94.20100732600733																																																																
