			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
			Id(Bk)Syl1	Id(Bk)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	OIO		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OIo		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oiO		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oio		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oIO		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oIo		 1 	 3 	 1 	 0 	 0 	 0 	 0 
OiA	OiA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oia		 0 	 1 	 0 	 0 	 1 	 0 	 0 
	OIA		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OIa		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oiA		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oia		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oIA		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oIa		 1 	 3 	 1 	 0 	 0 	 0 	 0 
Oiy	Oiy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	Oiu		 0 	 1 	 0 	 0 	 1 	 0 	 0 
	OIy		 0 	 1 	 1 	 1 	 1 	 1 	 1 
	OIu		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	oiy		 1 	 1 	 0 	 0 	 0 	 0 	 1 
	oiu		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	oIy		 1 	 2 	 1 	 0 	 0 	 1 	 2 
	oIu		 1 	 3 	 1 	 0 	 0 	 0 	 0 
Oie	Oie	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OiE		 0 	 1 	 1 	 0 	 1 	 0 	 0 
	OIe		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	OIE		 0 	 2 	 2 	 1 	 2 	 0 	 0 
	oie		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oiE		 1 	 2 	 1 	 0 	 0 	 0 	 0 
	oIE		 1 	 3 	 2 	 0 	 0 	 0 	 0 
Oii	Oii	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	OiI		 0 	 1 	 1 	 0 	 1 	 0 	 0 
	OIi		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	OII		 0 	 2 	 2 	 1 	 2 	 0 	 0 
	oii		 1 	 1 	 0 	 0 	 0 	 0 	 0 
	oiI		 1 	 2 	 1 	 0 	 0 	 0 	 0 
	oII		 1 	 3 	 2 	 0 	 0 	 0 	 0 
AOO	AOO	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AOo		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AoO		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aoo		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aOO		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aOo		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aoO		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aoo		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AOA	AOA	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AOa		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AoA		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aoa		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aOA		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aOa		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aoA		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aoa		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AOy	AOy	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AOu		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	Aoy		 0 	 1 	 0 	 1 	 1 	 1 	 1 
	Aou		 0 	 2 	 0 	 1 	 2 	 0 	 0 
	aOy		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aOu		 1 	 2 	 0 	 1 	 1 	 1 	 1 
	aoy		 1 	 2 	 0 	 0 	 0 	 1 	 2 
	aou		 1 	 3 	 0 	 0 	 0 	 0 	 0 
AOe	AOe	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AOE		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Aoe		 0 	 1 	 0 	 1 	 1 	 0 	 0 
	AoE		 0 	 2 	 1 	 1 	 2 	 0 	 0 
	aOe		 1 	 1 	 0 	 0 	 0 	 1 	 1 
	aOE		 1 	 2 	 1 	 1 	 1 	 1 	 1 
	aoe		 1 	 2 	 0 	 0 	 0 	 0 	 0 
	aoE		 1 	 3 	 1 	 0 	 0 	 0 	 0 
AOi	AOi	 1 	 0 	 0 	 0 	 0 	 0 	 0 	 0 
	AOI		 0 	 1 	 1 	 1 	 1 	 0 	 0 
	Aoi		 0 	 1 	 0 	 1 	 1 	 0 	 0 
