			Id(Bk)Syl1	Id(Bk)	MaxIOSyl1	MaxIO	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*B2	*F3_B5	*F3..._B5	*_B5F3	*_B5...F3
	yue		0	1	0	0	0	0	0	0	1	1	0	0
	yuE		0	2	0	0	0	0	0	1	1	2	0	0
	uye		1	1	0	0	0	0	0	0	0	0	1	1
	uyE		1	2	0	0	0	0	0	1	1	1	1	1
	uue		1	2	0	0	0	0	0	0	0	0	0	0
	uuE		1	3	0	0	0	0	0	1	0	0	0	0
	yy_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_ye		0	0	1	1	0	0	0	0	0	0	0	0
	_y_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_E		0	1	0	1	0	0	0	1	1	1	0	0
	_yE		0	1	1	1	0	0	0	1	1	1	0	0
	__E		0	1	1	2	0	0	0	1	0	0	0	0
	yu_		0	1	0	1	0	0	0	0	1	1	0	0
	_ue		0	1	1	1	0	0	0	0	0	0	0	0
	_u_		0	1	1	2	0	0	0	0	0	0	0	0
	_uE		0	2	1	1	0	0	0	1	0	0	0	0
	uy_		1	1	0	1	0	0	0	0	0	0	1	1
	u_e		1	1	0	1	0	0	0	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_E		1	2	0	1	0	0	0	1	0	0	0	0
	uu_		1	2	0	1	0	0	0	0	0	0	0	0
	yyi		0	0	0	0	0	0	1	0	0	0	0	0
	yii		0	0	0	0	0	0	2	0	0	0	0	0
	yei		0	0	0	0	0	0	3	0	0	0	0	0
	iye		0	0	0	0	0	1	1	0	0	0	0	0
	iyi		0	0	0	0	0	1	2	0	0	0	0	0
	iii		0	0	0	0	0	1	3	0	0	0	0	0
	iei		0	0	0	0	0	1	4	0	0	0	0	0
	eye		0	0	0	0	0	2	2	0	0	0	0	0
	eyi		0	0	0	0	0	2	3	0	0	0	0	0
	eii		0	0	0	0	0	2	4	0	0	0	0	0
	eei		0	0	0	0	0	2	5	0	0	0	0	0
	yiE		0	1	0	0	0	0	1	1	0	1	0	0
	yeE		0	1	0	0	0	0	2	1	0	1	0	0
	iyE		0	1	0	0	0	1	1	1	1	1	0	0
	iiE		0	1	0	0	0	1	2	1	0	0	0	0
	ieE		0	1	0	0	0	1	3	1	0	0	0	0
	eyE		0	1	0	0	0	2	2	1	1	1	0	0
	eiE		0	1	0	0	0	2	3	1	0	0	0	0
	eeE		0	1	0	0	0	2	4	1	0	0	0	0
	yui		0	1	0	0	0	0	1	0	1	1	0	0
	iue		0	1	0	0	0	1	1	0	0	0	0	0
	iui		0	1	0	0	0	1	2	0	0	0	0	0
	eue		0	1	0	0	0	2	2	0	0	0	0	0
	eui		0	1	0	0	0	2	3	0	0	0	0	0
	iuE		0	2	0	0	0	1	1	1	0	0	0	0
	euE		0	2	0	0	0	2	2	1	0	0	0	0
	uyi		1	1	0	0	0	0	1	0	0	0	1	1
	uie		1	1	0	0	0	0	1	0	0	0	0	0
	uii		1	1	0	0	0	0	2	0	0	0	0	0
	uei		1	1	0	0	0	0	3	0	0	0	0	0
	uiE		1	2	0	0	0	0	1	1	0	0	0	0
	ueE		1	2	0	0	0	0	2	1	0	0	0	0
	uui		1	2	0	0	0	0	1	0	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ye_		0	0	0	1	0	0	2	0	0	0	0	0
	iy_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ie_		0	0	0	1	0	1	3	0	0	0	0	0
	ey_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	ee_		0	0	0	1	0	2	4	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_yi		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	2	0	0	0	0	0
	i_E		0	1	0	1	0	1	1	1	0	0	0	0
	e_E		0	1	0	1	0	2	2	1	0	0	0	0
	_iE		0	1	1	1	0	0	1	1	0	0	0	0
	_eE		0	1	1	1	0	0	2	1	0	0	0	0
	iu_		0	1	0	1	0	1	1	0	0	0	0	0
	eu_		0	1	0	1	0	2	2	0	0	0	0	0
	_ui		0	1	1	1	0	0	1	0	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
	ue_		1	1	0	1	0	0	2	0	0	0	0	0
yyi	yyi	1	0	0	0	0	0	0	0	0	0	0	0	0
	yyI		0	1	0	0	0	0	0	1	1	1	0	0
	yui		0	1	0	0	0	0	0	0	1	1	0	0
	yuI		0	2	0	0	0	0	0	1	1	2	0	0
	uyi		1	1	0	0	0	0	0	0	0	0	1	1
	uyI		1	2	0	0	0	0	0	1	1	1	1	1
	uui		1	2	0	0	0	0	0	0	0	0	0	0
	uuI		1	3	0	0	0	0	0	1	0	0	0	0
	yy_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_yi		0	0	1	1	0	0	0	0	0	0	0	0
	_y_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_I		0	1	0	1	0	0	0	1	1	1	0	0
	_yI		0	1	1	1	0	0	0	1	1	1	0	0
	__I		0	1	1	2	0	0	0	1	0	0	0	0
	yu_		0	1	0	1	0	0	0	0	1	1	0	0
	_ui		0	1	1	1	0	0	0	0	0	0	0	0
	_u_		0	1	1	2	0	0	0	0	0	0	0	0
	_uI		0	2	1	1	0	0	0	1	0	0	0	0
	uy_		1	1	0	1	0	0	0	0	0	0	1	1
	u_i		1	1	0	1	0	0	0	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_I		1	2	0	1	0	0	0	1	0	0	0	0
	uu_		1	2	0	1	0	0	0	0	0	0	0	0
	yye		0	0	0	0	0	0	1	0	0	0	0	0
	yie		0	0	0	0	0	0	2	0	0	0	0	0
	yee		0	0	0	0	0	0	3	0	0	0	0	0
	iyi		0	0	0	0	0	1	1	0	0	0	0	0
	iye		0	0	0	0	0	1	2	0	0	0	0	0
	iie		0	0	0	0	0	1	3	0	0	0	0	0
	iee		0	0	0	0	0	1	4	0	0	0	0	0
	eyi		0	0	0	0	0	2	2	0	0	0	0	0
	eye		0	0	0	0	0	2	3	0	0	0	0	0
	eie		0	0	0	0	0	2	4	0	0	0	0	0
	eee		0	0	0	0	0	2	5	0	0	0	0	0
	yiI		0	1	0	0	0	0	1	1	0	1	0	0
	yeI		0	1	0	0	0	0	2	1	0	1	0	0
	iyI		0	1	0	0	0	1	1	1	1	1	0	0
	iiI		0	1	0	0	0	1	2	1	0	0	0	0
	ieI		0	1	0	0	0	1	3	1	0	0	0	0
	eyI		0	1	0	0	0	2	2	1	1	1	0	0
	eiI		0	1	0	0	0	2	3	1	0	0	0	0
	eeI		0	1	0	0	0	2	4	1	0	0	0	0
	yue		0	1	0	0	0	0	1	0	1	1	0	0
	iui		0	1	0	0	0	1	1	0	0	0	0	0
	iue		0	1	0	0	0	1	2	0	0	0	0	0
	eui		0	1	0	0	0	2	2	0	0	0	0	0
	eue		0	1	0	0	0	2	3	0	0	0	0	0
	iuI		0	2	0	0	0	1	1	1	0	0	0	0
	euI		0	2	0	0	0	2	2	1	0	0	0	0
	uye		1	1	0	0	0	0	1	0	0	0	1	1
	uii		1	1	0	0	0	0	1	0	0	0	0	0
	uie		1	1	0	0	0	0	2	0	0	0	0	0
	uee		1	1	0	0	0	0	3	0	0	0	0	0
	uiI		1	2	0	0	0	0	1	1	0	0	0	0
	ueI		1	2	0	0	0	0	2	1	0	0	0	0
	uue		1	2	0	0	0	0	1	0	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ye_		0	0	0	1	0	0	2	0	0	0	0	0
	iy_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ie_		0	0	0	1	0	1	3	0	0	0	0	0
	ey_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	ee_		0	0	0	1	0	2	4	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_ye		0	0	1	1	0	0	1	0	0	0	0	0
	_ie		0	0	1	1	0	0	2	0	0	0	0	0
	_ee		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	_e_		0	0	1	2	0	0	2	0	0	0	0	0
	i_I		0	1	0	1	0	1	1	1	0	0	0	0
	e_I		0	1	0	1	0	2	2	1	0	0	0	0
	_iI		0	1	1	1	0	0	1	1	0	0	0	0
	_eI		0	1	1	1	0	0	2	1	0	0	0	0
	iu_		0	1	0	1	0	1	1	0	0	0	0	0
	eu_		0	1	0	1	0	2	2	0	0	0	0	0
	_ue		0	1	1	1	0	0	1	0	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
	ue_		1	1	0	1	0	0	2	0	0	0	0	0
yeO	yeO	1	0	0	0	0	0	0	0	0	0	0	0	0
	yeo		0	1	0	0	0	0	0	0	0	1	0	0
	yEO		0	1	0	0	0	0	0	1	1	1	1	1
	yEo		0	2	0	0	0	0	0	1	1	2	0	0
	ueO		1	1	0	0	0	0	0	0	0	0	0	1
	ueo		1	2	0	0	0	0	0	0	0	0	0	0
	uEO		1	2	0	0	0	0	0	1	0	0	1	2
	uEo		1	3	0	0	0	0	0	1	0	0	0	0
	ye_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_eO		0	0	1	1	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_o		0	1	0	1	0	0	0	0	1	1	0	0
	_eo		0	1	1	1	0	0	0	0	0	0	0	0
	__o		0	1	1	2	0	0	0	0	0	0	0	0
	yE_		0	1	0	1	0	0	0	1	1	1	0	0
	_EO		0	1	1	1	0	0	0	1	0	0	1	1
	_E_		0	1	1	2	0	0	0	1	0	0	0	0
	_Eo		0	2	1	1	0	0	0	1	0	0	0	0
	ue_		1	1	0	1	0	0	0	0	0	0	0	0
	u_O		1	1	0	1	0	0	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_o		1	2	0	1	0	0	0	0	0	0	0	0
	uE_		1	2	0	1	0	0	0	1	0	0	0	0
	yei		0	0	0	0	0	0	2	0	0	0	0	0
	yee		0	0	0	0	0	0	1	0	0	0	0	0
	yii		0	0	0	0	0	0	3	0	0	0	0	0
	ieO		0	0	0	0	0	1	1	0	0	0	0	0
	iei		0	0	0	0	0	1	3	0	0	0	0	0
	iee		0	0	0	0	0	1	2	0	0	0	0	0
	iii		0	0	0	0	0	1	4	0	0	0	0	0
	eeO		0	0	0	0	0	2	2	0	0	0	0	0
	eei		0	0	0	0	0	2	4	0	0	0	0	0
	eee		0	0	0	0	0	2	3	0	0	0	0	0
	eii		0	0	0	0	0	2	5	0	0	0	0	0
	yio		0	1	0	0	0	0	1	0	0	1	0	0
	ieo		0	1	0	0	0	1	1	0	0	0	0	0
	iio		0	1	0	0	0	1	2	0	0	0	0	0
	eeo		0	1	0	0	0	2	2	0	0	0	0	0
	eio		0	1	0	0	0	2	3	0	0	0	0	0
	yEi		0	1	0	0	0	0	2	1	1	1	0	0
	yEe		0	1	0	0	0	0	1	1	1	1	0	0
	iEO		0	1	0	0	0	1	1	1	0	0	1	1
	iEi		0	1	0	0	0	1	3	1	0	0	0	0
	iEe		0	1	0	0	0	1	2	1	0	0	0	0
	eEO		0	1	0	0	0	2	2	1	0	0	1	1
	eEi		0	1	0	0	0	2	4	1	0	0	0	0
	eEe		0	1	0	0	0	2	3	1	0	0	0	0
	iEo		0	2	0	0	0	1	1	1	0	0	0	0
	eEo		0	2	0	0	0	2	2	1	0	0	0	0
	uei		1	1	0	0	0	0	2	0	0	0	0	0
	uee		1	1	0	0	0	0	1	0	0	0	0	0
	uiO		1	1	0	0	0	0	1	0	0	0	0	1
	uii		1	1	0	0	0	0	3	0	0	0	0	0
	uio		1	2	0	0	0	0	1	0	0	0	0	0
	uEi		1	2	0	0	0	0	2	1	0	0	0	0
	uEe		1	2	0	0	0	0	1	1	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ie_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ee_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	y_i		0	0	0	1	0	0	2	0	0	0	0	0
	i_i		0	0	0	1	0	1	3	0	0	0	0	0
	e_i		0	0	0	1	0	2	4	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	2	0	0	0	0	0
	_ee		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	__i		0	0	1	2	0	0	2	0	0	0	0	0
	i_o		0	1	0	1	0	1	1	0	0	0	0	0
	e_o		0	1	0	1	0	2	2	0	0	0	0	0
	_io		0	1	1	1	0	0	1	0	0	0	0	0
	iE_		0	1	0	1	0	1	1	1	0	0	0	0
	eE_		0	1	0	1	0	2	2	1	0	0	0	0
	_Ei		0	1	1	1	0	0	2	1	0	0	0	0
	_Ee		0	1	1	1	0	0	1	1	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
	u_i		1	1	0	1	0	0	2	0	0	0	0	0
yeA	yeA	1	0	0	0	0	0	0	0	0	0	0	0	0
	yea		0	1	0	0	0	0	0	0	0	1	0	0
	yEA		0	1	0	0	0	0	0	1	1	1	1	1
	yEa		0	2	0	0	0	0	0	1	1	2	0	0
	ueA		1	1	0	0	0	0	0	0	0	0	0	1
	uea		1	2	0	0	0	0	0	0	0	0	0	0
	uEA		1	2	0	0	0	0	0	1	0	0	1	2
	uEa		1	3	0	0	0	0	0	1	0	0	0	0
	ye_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_eA		0	0	1	1	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_a		0	1	0	1	0	0	0	0	1	1	0	0
	_ea		0	1	1	1	0	0	0	0	0	0	0	0
	__a		0	1	1	2	0	0	0	0	0	0	0	0
	yE_		0	1	0	1	0	0	0	1	1	1	0	0
	_EA		0	1	1	1	0	0	0	1	0	0	1	1
	_E_		0	1	1	2	0	0	0	1	0	0	0	0
	_Ea		0	2	1	1	0	0	0	1	0	0	0	0
	ue_		1	1	0	1	0	0	0	0	0	0	0	0
	u_A		1	1	0	1	0	0	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_a		1	2	0	1	0	0	0	0	0	0	0	0
	uE_		1	2	0	1	0	0	0	1	0	0	0	0
	yei		0	0	0	0	0	0	2	0	0	0	0	0
	yee		0	0	0	0	0	0	1	0	0	0	0	0
	yii		0	0	0	0	0	0	3	0	0	0	0	0
	ieA		0	0	0	0	0	1	1	0	0	0	0	0
	iei		0	0	0	0	0	1	3	0	0	0	0	0
	iee		0	0	0	0	0	1	2	0	0	0	0	0
	iii		0	0	0	0	0	1	4	0	0	0	0	0
	eeA		0	0	0	0	0	2	2	0	0	0	0	0
	eei		0	0	0	0	0	2	4	0	0	0	0	0
	eee		0	0	0	0	0	2	3	0	0	0	0	0
	eii		0	0	0	0	0	2	5	0	0	0	0	0
	yia		0	1	0	0	0	0	1	0	0	1	0	0
	iea		0	1	0	0	0	1	1	0	0	0	0	0
	iia		0	1	0	0	0	1	2	0	0	0	0	0
	eea		0	1	0	0	0	2	2	0	0	0	0	0
	eia		0	1	0	0	0	2	3	0	0	0	0	0
	yEi		0	1	0	0	0	0	2	1	1	1	0	0
	yEe		0	1	0	0	0	0	1	1	1	1	0	0
	iEA		0	1	0	0	0	1	1	1	0	0	1	1
	iEi		0	1	0	0	0	1	3	1	0	0	0	0
	iEe		0	1	0	0	0	1	2	1	0	0	0	0
	eEA		0	1	0	0	0	2	2	1	0	0	1	1
	eEi		0	1	0	0	0	2	4	1	0	0	0	0
	eEe		0	1	0	0	0	2	3	1	0	0	0	0
	iEa		0	2	0	0	0	1	1	1	0	0	0	0
	eEa		0	2	0	0	0	2	2	1	0	0	0	0
	uei		1	1	0	0	0	0	2	0	0	0	0	0
	uee		1	1	0	0	0	0	1	0	0	0	0	0
	uiA		1	1	0	0	0	0	1	0	0	0	0	1
	uii		1	1	0	0	0	0	3	0	0	0	0	0
	uia		1	2	0	0	0	0	1	0	0	0	0	0
	uEi		1	2	0	0	0	0	2	1	0	0	0	0
	uEe		1	2	0	0	0	0	1	1	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ie_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ee_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	y_i		0	0	0	1	0	0	2	0	0	0	0	0
	i_i		0	0	0	1	0	1	3	0	0	0	0	0
	e_i		0	0	0	1	0	2	4	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	2	0	0	0	0	0
	_ee		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	__i		0	0	1	2	0	0	2	0	0	0	0	0
	i_a		0	1	0	1	0	1	1	0	0	0	0	0
	e_a		0	1	0	1	0	2	2	0	0	0	0	0
	_ia		0	1	1	1	0	0	1	0	0	0	0	0
	iE_		0	1	0	1	0	1	1	1	0	0	0	0
	eE_		0	1	0	1	0	2	2	1	0	0	0	0
	_Ei		0	1	1	1	0	0	2	1	0	0	0	0
	_Ee		0	1	1	1	0	0	1	1	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
	u_i		1	1	0	1	0	0	2	0	0	0	0	0
yey	yey	1	0	0	0	0	0	0	0	0	0	0	0	0
	yeu		0	1	0	0	0	0	0	0	0	1	0	0
	yEy		0	1	0	0	0	0	0	1	1	1	1	1
	yEu		0	2	0	0	0	0	0	1	1	2	0	0
	uey		1	1	0	0	0	0	0	0	0	0	0	1
	ueu		1	2	0	0	0	0	0	0	0	0	0	0
	uEy		1	2	0	0	0	0	0	1	0	0	1	2
	uEu		1	3	0	0	0	0	0	1	0	0	0	0
	ye_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_ey		0	0	1	1	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_u		0	1	0	1	0	0	0	0	1	1	0	0
	_eu		0	1	1	1	0	0	0	0	0	0	0	0
	__u		0	1	1	2	0	0	0	0	0	0	0	0
	yE_		0	1	0	1	0	0	0	1	1	1	0	0
	_Ey		0	1	1	1	0	0	0	1	0	0	1	1
	_E_		0	1	1	2	0	0	0	1	0	0	0	0
	_Eu		0	2	1	1	0	0	0	1	0	0	0	0
	ue_		1	1	0	1	0	0	0	0	0	0	0	0
	u_y		1	1	0	1	0	0	0	0	0	0	1	1
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_u		1	2	0	1	0	0	0	0	0	0	0	0
	uE_		1	2	0	1	0	0	0	1	0	0	0	0
	yei		0	0	0	0	0	0	1	0	0	0	0	0
	yee		0	0	0	0	0	0	2	0	0	0	0	0
	yie		0	0	0	0	0	0	3	0	0	0	0	0
	iey		0	0	0	0	0	1	1	0	0	0	0	0
	iei		0	0	0	0	0	1	2	0	0	0	0	0
	iee		0	0	0	0	0	1	3	0	0	0	0	0
	iie		0	0	0	0	0	1	4	0	0	0	0	0
	eey		0	0	0	0	0	2	2	0	0	0	0	0
	eei		0	0	0	0	0	2	3	0	0	0	0	0
	eee		0	0	0	0	0	2	4	0	0	0	0	0
	eie		0	0	0	0	0	2	5	0	0	0	0	0
	yiu		0	1	0	0	0	0	1	0	0	1	0	0
	ieu		0	1	0	0	0	1	1	0	0	0	0	0
	iiu		0	1	0	0	0	1	2	0	0	0	0	0
	eeu		0	1	0	0	0	2	2	0	0	0	0	0
	eiu		0	1	0	0	0	2	3	0	0	0	0	0
	yEi		0	1	0	0	0	0	1	1	1	1	0	0
	yEe		0	1	0	0	0	0	2	1	1	1	0	0
	iEy		0	1	0	0	0	1	1	1	0	0	1	1
	iEi		0	1	0	0	0	1	2	1	0	0	0	0
	iEe		0	1	0	0	0	1	3	1	0	0	0	0
	eEy		0	1	0	0	0	2	2	1	0	0	1	1
	eEi		0	1	0	0	0	2	3	1	0	0	0	0
	eEe		0	1	0	0	0	2	4	1	0	0	0	0
	iEu		0	2	0	0	0	1	1	1	0	0	0	0
	eEu		0	2	0	0	0	2	2	1	0	0	0	0
	uei		1	1	0	0	0	0	1	0	0	0	0	0
	uee		1	1	0	0	0	0	2	0	0	0	0	0
	uiy		1	1	0	0	0	0	1	0	0	0	0	1
	uie		1	1	0	0	0	0	3	0	0	0	0	0
	uiu		1	2	0	0	0	0	1	0	0	0	0	0
	uEi		1	2	0	0	0	0	1	1	0	0	0	0
	uEe		1	2	0	0	0	0	2	1	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ie_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ee_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	y_e		0	0	0	1	0	0	2	0	0	0	0	0
	i_e		0	0	0	1	0	1	3	0	0	0	0	0
	e_e		0	0	0	1	0	2	4	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	1	0	0	0	0	0
	_ee		0	0	1	1	0	0	2	0	0	0	0	0
	_ie		0	0	1	1	0	0	3	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	__e		0	0	1	2	0	0	2	0	0	0	0	0
	i_u		0	1	0	1	0	1	1	0	0	0	0	0
	e_u		0	1	0	1	0	2	2	0	0	0	0	0
	_iu		0	1	1	1	0	0	1	0	0	0	0	0
	iE_		0	1	0	1	0	1	1	1	0	0	0	0
	eE_		0	1	0	1	0	2	2	1	0	0	0	0
	_Ei		0	1	1	1	0	0	1	1	0	0	0	0
	_Ee		0	1	1	1	0	0	2	1	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
	u_e		1	1	0	1	0	0	2	0	0	0	0	0
yee	yee	1	0	0	0	0	0	0	0	0	0	0	0	0
	yeE		0	1	0	0	0	0	0	1	0	1	0	0
	yEe		0	1	0	0	0	0	0	1	1	1	0	0
	yEE		0	2	0	0	0	0	0	2	1	2	0	0
	uee		1	1	0	0	0	0	0	0	0	0	0	0
	ueE		1	2	0	0	0	0	0	1	0	0	0	0
	uEE		1	3	0	0	0	0	0	2	0	0	0	0
	ye_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_ee		0	0	1	1	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_E		0	1	0	1	0	0	0	1	1	1	0	0
	_eE		0	1	1	1	0	0	0	1	0	0	0	0
	__E		0	1	1	2	0	0	0	1	0	0	0	0
	_EE		0	2	1	1	0	0	0	2	0	0	0	0
	ue_		1	1	0	1	0	0	0	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_E		1	2	0	1	0	0	0	1	0	0	0	0
	yei		0	0	0	0	0	0	1	0	0	0	0	0
	yii		0	0	0	0	0	0	2	0	0	0	0	0
	iee		0	0	0	0	0	1	1	0	0	0	0	0
	iei		0	0	0	0	0	1	2	0	0	0	0	0
	iii		0	0	0	0	0	1	3	0	0	0	0	0
	eee		0	0	0	0	0	2	2	0	0	0	0	0
	eei		0	0	0	0	0	2	3	0	0	0	0	0
	eii		0	0	0	0	0	2	4	0	0	0	0	0
	yiE		0	1	0	0	0	0	1	1	0	1	0	0
	ieE		0	1	0	0	0	1	1	1	0	0	0	0
	iiE		0	1	0	0	0	1	2	1	0	0	0	0
	eeE		0	1	0	0	0	2	2	1	0	0	0	0
	eiE		0	1	0	0	0	2	3	1	0	0	0	0
	yEi		0	1	0	0	0	0	1	1	1	1	0	0
	iEE		0	2	0	0	0	1	1	2	0	0	0	0
	eEE		0	2	0	0	0	2	2	2	0	0	0	0
	uei		1	1	0	0	0	0	1	0	0	0	0	0
	uii		1	1	0	0	0	0	2	0	0	0	0	0
	uiE		1	2	0	0	0	0	1	1	0	0	0	0
	yi_		0	0	0	1	0	0	1	0	0	0	0	0
	ie_		0	0	0	1	0	1	1	0	0	0	0	0
	ii_		0	0	0	1	0	1	2	0	0	0	0	0
	ee_		0	0	0	1	0	2	2	0	0	0	0	0
	ei_		0	0	0	1	0	2	3	0	0	0	0	0
	i__		0	0	0	2	0	1	1	0	0	0	0	0
	e__		0	0	0	2	0	2	2	0	0	0	0	0
	_ei		0	0	1	1	0	0	1	0	0	0	0	0
	_ii		0	0	1	1	0	0	2	0	0	0	0	0
	_i_		0	0	1	2	0	0	1	0	0	0	0	0
	i_E		0	1	0	1	0	1	1	1	0	0	0	0
	e_E		0	1	0	1	0	2	2	1	0	0	0	0
	_iE		0	1	1	1	0	0	1	1	0	0	0	0
	ui_		1	1	0	1	0	0	1	0	0	0	0	0
yei	yei	1	0	0	0	0	0	0	0	0	0	0	0	0
	yeI		0	1	0	0	0	0	0	1	0	1	0	0
	yEi		0	1	0	0	0	0	0	1	1	1	0	0
	yEI		0	2	0	0	0	0	0	2	1	2	0	0
	uei		1	1	0	0	0	0	0	0	0	0	0	0
	ueI		1	2	0	0	0	0	0	1	0	0	0	0
	uEI		1	3	0	0	0	0	0	2	0	0	0	0
	ye_		0	0	0	1	0	0	0	0	0	0	0	0
	y__		0	0	0	2	0	0	0	0	0	0	0	0
	_ei		0	0	1	1	0	0	0	0	0	0	0	0
	_e_		0	0	1	2	0	0	0	0	0	0	0	0
	___		0	0	1	3	1	0	0	0	0	0	0	0
	y_I		0	1	0	1	0	0	0	1	1	1	0	0
	_eI		0	1	1	1	0	0	0	1	0	0	0	0
	__I		0	1	1	2	0	0	0	1	0	0	0	0
	_EI		0	2	1	1	0	0	0	2	0	0	0	0
	ue_		1	1	0	1	0	0	0	0	0	0	0	0
	u__		1	1	0	2	0	0	0	0	0	0	0	0
	u_I		1	2	0	1	0	0	0	1	0	0	0	0
	yee		0	0	0	0	0	0	1	0	0	0	0	0
	yie		0	0	0	0	0	0	2	0	0	0	0	0
	iei		0	0	0	0	0	1	1	0	0	0	0	0
	iee		0	0	0	0	0	1	2	0	0	0	0	0
