Id(Bk)Syl1	 124 
Id(Bk)	 104 
*F1	 108 
*F3	 110 
*F4	 100 
*F5	 100 
*B1	 106 
*B2	 110 
*B3	 102 
*B5	 100 
*F1_B1	 100 
*F1..._B1	 100 
*F1_B2	 100 
*F1..._B2	 100 
*F1_B3	 94 
*F1..._B3	 92 
*F1_B5	 92 
*F1..._B5	 92 
*F3_B1	 100 
*F3..._B1	 100 
*F3_B2	 100 
*F3..._B2	 100 
*F3_B3	 90 
*F3..._B3	 86 
*F3_B5	 74 
*F3..._B5	 72 
*F4_B1	 100 
*F4..._B1	 100 
*F4_B2	 102 
*F4..._B2	 102 
*F4_B3	 88 
*F4..._B3	 82 
*F4_B5	 62 
*F4..._B5	 60 
*F5_B1	 100 
*F5..._B1	 100 
*F5_B2	 102 
*F5..._B2	 106 
*F5_B3	 84 
*F5..._B3	 82 
*F5_B5	 48 
*F5..._B5	 54 
*_B1F1	 100 
*_B1...F1	 100 
*_B1F3	 100 
*_B1...F3	 100 
*_B1F4	 100 
*_B1...F4	 100 
*_B1F5	 100 
*_B1...F5	 100 
*_B2F1	 102 
*_B2...F1	 102 
*_B2F3	 102 
*_B2...F3	 104 
*_B2F4	 100 
*_B2...F4	 98 
*_B2F5	 100 
*_B2...F5	 96 
*_B3F1	 102 
*_B3...F1	 102 
*_B3F3	 102 
*_B3...F3	 104 
*_B3F4	 98 
*_B3...F4	 94 
*_B3F5	 94 
*_B3...F5	 92 
*_B5F1	 104 
*_B5...F1	 104 
*_B5F3	 104 
*_B5...F3	 106 
*_B5F4	 84 
*_B5...F4	 78 
*_B5F5	 80 
*_B5...F5	 80 

Input#	Input	Cand#	Cand	Freq. from input file	Learning tokens	Output of grammar test	Target proportion	Predicted proportion
 62 	EA	 2 	eA	 0 	 0 	 0 	 0 	 0 
 62 	EA	 3 	ea	 0 	 0 	 0 	 0 	 0 
 63 	Ey	 0 	Ey	 0 	 0 	 16 	 0 	 0.016 
 63 	Ey	 1 	Eu	 0 	 0 	 984 	 0 	 0.984 
 63 	Ey	 2 	ey	 0 	 0 	 0 	 0 	 0 
 63 	Ey	 3 	eu	 0 	 0 	 0 	 0 	 0 
 64 	Ee	 0 	Ee	 1 	 15 	 998 	 1 	 0.998 
 64 	Ee	 1 	EE	 0 	 0 	 2 	 0 	 0.002 
 64 	Ee	 2 	ee	 0 	 0 	 0 	 0 	 0 
 64 	Ee	 3 	eE	 0 	 0 	 0 	 0 	 0 
 65 	Ei	 0 	Ei	 1 	 17 	 1000 	 1 	 1 
 65 	Ei	 1 	EI	 0 	 0 	 0 	 0 	 0 
 65 	Ei	 2 	ei	 0 	 0 	 0 	 0 	 0 
 65 	Ei	 3 	eI	 0 	 0 	 0 	 0 	 0 
 66 	EI	 0 	EI	 0 	 0 	 16 	 0 	 0.016 
 66 	EI	 1 	Ei	 0 	 0 	 984 	 0 	 0.984 
 66 	EI	 2 	eI	 0 	 0 	 0 	 0 	 0 
 66 	EI	 3 	ei	 0 	 0 	 0 	 0 	 0 
 67 	EE	 0 	EE	 0 	 0 	 20 	 0 	 0.02 
 67 	EE	 1 	Ee	 0 	 0 	 980 	 0 	 0.98 
 67 	EE	 2 	eE	 0 	 0 	 0 	 0 	 0 
 67 	EE	 3 	ee	 0 	 0 	 0 	 0 	 0 
 68 	Eo	 0 	Eo	 1 	 10 	 1000 	 1 	 1 
 68 	Eo	 1 	EO	 0 	 0 	 0 	 0 	 0 
