			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
			Id(Bk)Syl1	Id(Bk)	MaxIO(Fr)Syl1	MaxIO(Fr)	MaxIO(Bk)Syl1	MaxIO(Bk)	NonEmpty	Id(HiLoRd)Syl1	Id(HiLoRd)	*F1	*B1	*F4_B5	*F4..._B5	*F3_B2	*F3..._B2	*_B5F4	*_B5...F4
AA	AA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Aa		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	aA		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	aa		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_A		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_a		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Ai		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iA		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	ia		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ea		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ai		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ae		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
	i_		0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0
	_i		0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0
Ay	Ay	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Au		0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
	ay		1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
	au		1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	A_		0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	_y		0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	__		0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0
	_u		0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	a_		1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
	Ai		0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	iy		0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	ii		0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0
	iu		0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
	eu		0	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0
	ai		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
	ae		1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1
